FILE,PAGE,CLASS-1-v1.3,CLASS-1-v2.3,CLASS-1-v3.3,CLASS-1-v4.3,CLASS-1-v5.3
pages_online,2,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T
pages_online,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T
pages_online,4,TEXT,TEXT,TEXT,TEXT,TEXT
pages_online,5,TEXT_P,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,6,LINE_HW,DRAW,TEXT_HW,LINE_HW,LINE_HW
pages_online,7,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T
pages_online,8,TEXT,LINE_HW,DRAW,TEXT,DRAW
pages_online,9,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,10,TEXT,TEXT,TEXT,TEXT,TEXT
pages_online,11,TEXT_T,TEXT_T,TEXT_T,LINE_T,TEXT_T
pages_online,12,TEXT,TEXT,TEXT_HW,TEXT_P,TEXT_HW
pages_online,13,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,14,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,15,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,16,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT
pages_online,17,TEXT_HW,TEXT_HW,LINE_HW,TEXT_HW,TEXT_HW
pages_online,18,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,19,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,21,TEXT_P,TEXT_HW,TEXT_P,TEXT_P,TEXT_P
pages_online,22,TEXT_HW,TEXT_HW,TEXT,TEXT,TEXT_HW
pages_online,23,DRAW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,24,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,25,LINE_HW,LINE_HW,LINE_HW,LINE_HW,TEXT_HW
pages_online,26,TEXT,TEXT,TEXT,TEXT,TEXT
pages_online,27,LINE_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,28,DRAW,DRAW,DRAW,LINE_HW,DRAW
pages_online,29,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,30,DRAW,DRAW,PHOTO,PHOTO,PHOTO
pages_online,31,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,32,TEXT_HW,TEXT_HW,TEXT_HW,DRAW,TEXT_HW
pages_online,33,DRAW,DRAW_L,LINE_HW,LINE_HW,LINE_HW
pages_online,34,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,35,DRAW,TEXT,TEXT,TEXT,TEXT
pages_online,36,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,37,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,38,DRAW,DRAW,DRAW,DRAW,DRAW
presentation_thesis,1,PHOTO,DRAW,DRAW,DRAW,DRAW
presentation_thesis,4,DRAW,PHOTO,DRAW,DRAW,DRAW
presentation_thesis,5,DRAW,DRAW,DRAW,DRAW,DRAW
presentation_thesis,6,PHOTO,DRAW,PHOTO,PHOTO,PHOTO_L
presentation_thesis,7,DRAW,DRAW,DRAW_L,PHOTO,DRAW
presentation_thesis,9,PHOTO,DRAW,DRAW,DRAW,DRAW
presentation_thesis,11,PHOTO,DRAW,PHOTO,PHOTO_L,PHOTO
presentation_thesis,12,PHOTO,TEXT,TEXT,DRAW,TEXT
presentation_thesis,13,PHOTO,PHOTO_L,PHOTO,PHOTO,PHOTO
presentation_thesis,14,LINE_P,LINE_T,LINE_P,LINE_P,LINE_P
presentation_thesis,17,DRAW,DRAW,DRAW,DRAW,DRAW
presentation_thesis,18,LINE_P,LINE_T,LINE_T,LINE_P,LINE_T
presentation_thesis,20,PHOTO,DRAW,DRAW,PHOTO,DRAW
presentation_thesis,22,TEXT,LINE_T,TEXT,TEXT,TEXT
presentation_thesis,24,LINE_P,DRAW,LINE_T,LINE_P,LINE_HW
presentation_thesis,26,LINE_P,LINE_T,LINE_T,TEXT_P,DRAW
presentation_thesis,27,PHOTO,PHOTO_L,PHOTO,PHOTO,PHOTO
presentation_thesis,30,TEXT,DRAW,TEXT,TEXT,DRAW
presentation_thesis,31,LINE_P,LINE_T,LINE_T,TEXT_P,LINE_T
presentation_thesis,33,PHOTO,TEXT,TEXT,TEXT_P,TEXT
presentation_thesis,36,LINE_P,LINE_T,LINE_P,LINE_P,LINE_HW
presentation_thesis,37,TEXT,TEXT,DRAW,TEXT,TEXT
presentation_thesis,39,LINE_P,LINE_P,LINE_T,LINE_P,LINE_T
presentation_thesis,40,TEXT_P,TEXT,DRAW,TEXT_P,TEXT
presentation_thesis,41,LINE_P,LINE_T,LINE_T,TEXT_P,LINE_T
presentation_thesis,42,TEXT,TEXT,DRAW,TEXT,DRAW
presentation_thesis,43,DRAW,DRAW,DRAW,DRAW,DRAW
presentation_thesis,44,TEXT,TEXT,TEXT,TEXT,TEXT
presentation_thesis,45,LINE_P,LINE_T,LINE_P,LINE_P,LINE_T
presentation_thesis,47,TEXT_P,TEXT_HW,TEXT_P,TEXT_P,TEXT_P
thesis,1,TEXT_P,TEXT_P,TEXT,TEXT,TEXT_P
thesis,2,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,3,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,5,TEXT_P,DRAW,DRAW,TEXT_P,TEXT_P
thesis,7,TEXT_P,LINE_P,TEXT_P,LINE_P,TEXT_P
thesis,8,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,10,DRAW,DRAW,PHOTO,PHOTO,DRAW
thesis,11,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,14,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,16,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,18,DRAW,DRAW,DRAW_L,DRAW,DRAW
thesis,20,LINE_P,LINE_P,TEXT_P,LINE_P,TEXT_P
thesis,21,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO
thesis,23,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,25,LINE_P,LINE_P,DRAW,LINE_P,TEXT
thesis,28,LINE_P,LINE_P,TEXT_P,LINE_P,TEXT
thesis,29,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,33,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,36,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,38,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,41,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,42,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,43,LINE_P,LINE_P,TEXT_P,LINE_P,LINE_P
thesis,45,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,46,DRAW,DRAW,DRAW,PHOTO,DRAW
thesis,47,DRAW,DRAW,DRAW,PHOTO,DRAW
thesis,51,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,55,LINE_P,LINE_P,TEXT_P,LINE_P,LINE_P
thesis,56,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,57,DRAW,LINE_P,DRAW,DRAW,DRAW
thesis,59,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,60,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,61,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,62,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,66,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,69,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,74,TEXT_P,LINE_P,TEXT_P,TEXT_P,TEXT_P
thesis,78,TEXT_P,TEXT_P,LINE_P,LINE_P,TEXT_P
thesis,80,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,82,TEXT,DRAW_L,DRAW,PHOTO,DRAW
thesis,83,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,84,PHOTO,DRAW_L,DRAW,PHOTO,DRAW
thesis,85,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,86,LINE_P,DRAW,DRAW,DRAW_L,DRAW
thesis,87,DRAW,DRAW,TEXT,DRAW,TEXT
thesis,88,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,90,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO
thesis,91,DRAW,PHOTO,DRAW,DRAW,DRAW
thesis,92,LINE_P,LINE_P,LINE_P,LINE_P,DRAW
thesis,93,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO
thesis,94,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,96,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,98,DRAW,DRAW,DRAW,DRAW,DRAW
thesis,99,LINE_P,DRAW_L,LINE_HW,LINE_P,LINE_HW
thesis,100,LINE_P,LINE_P,DRAW,LINE_P,DRAW
thesis,101,LINE_P,DRAW_L,DRAW_L,LINE_P,DRAW
thesis,102,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO
thesis,103,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO
thesis,104,PHOTO,PHOTO,PHOTO,PHOTO,PHOTO_L
thesis,105,TEXT,TEXT,DRAW,TEXT,TEXT
thesis,108,LINE_P,LINE_P,TEXT_P,TEXT_P,LINE_P
thesis,109,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,110,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,111,LINE_P,LINE_P,TEXT_P,LINE_P,LINE_P
thesis,112,LINE_P,TEXT_P,TEXT_P,LINE_P,TEXT_P
thesis,116,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT
thesis,117,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT
thesis,118,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,119,TEXT_P,TEXT_P,TEXT_P,TEXT_P,TEXT_P
thesis,123,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
thesis,124,PHOTO,PHOTO,DRAW,DRAW,DRAW
ticket,1,PHOTO_L,DRAW_L,PHOTO_L,PHOTO_L,PHOTO_L
ticket,2,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
