FILE,PAGE,CLASS-1-v1.3,CLASS-1-v2.3,CLASS-1-v3.3,CLASS-1-v4.3,CLASS-1-v5.3
pages_online,1,TEXT_P,TEXT_T,TEXT_P,TEXT_P,TEXT_T
pages_online,2,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T
pages_online,3,TEXT_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T
pages_online,4,TEXT,TEXT,TEXT,TEXT,TEXT
pages_online,5,TEXT_P,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,6,LINE_HW,DRAW,TEXT_HW,LINE_HW,LINE_HW
pages_online,7,LINE_T,TEXT_T,TEXT_T,TEXT_T,TEXT_T
pages_online,8,TEXT,LINE_HW,DRAW,TEXT,DRAW
pages_online,9,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,10,TEXT,TEXT,TEXT,TEXT,TEXT
pages_online,11,TEXT_T,TEXT_T,TEXT_T,LINE_T,TEXT_T
pages_online,12,TEXT,TEXT,TEXT_HW,TEXT_P,TEXT_HW
pages_online,13,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,14,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,15,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,16,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT
pages_online,17,TEXT_HW,TEXT_HW,LINE_HW,TEXT_HW,TEXT_HW
pages_online,18,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,19,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,21,TEXT_P,TEXT_HW,TEXT_P,TEXT_P,TEXT_P
pages_online,22,TEXT_HW,TEXT_HW,TEXT,TEXT,TEXT_HW
pages_online,23,DRAW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,24,LINE_HW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,25,LINE_HW,LINE_HW,LINE_HW,LINE_HW,TEXT_HW
pages_online,26,TEXT,TEXT,TEXT,TEXT,TEXT
pages_online,27,LINE_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,28,DRAW,DRAW,DRAW,LINE_HW,DRAW
pages_online,29,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,30,DRAW,DRAW,PHOTO,PHOTO,PHOTO
pages_online,31,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,32,TEXT_HW,TEXT_HW,TEXT_HW,DRAW,TEXT_HW
pages_online,33,DRAW,DRAW_L,LINE_HW,LINE_HW,LINE_HW
pages_online,34,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,35,DRAW,TEXT,TEXT,TEXT,TEXT
pages_online,36,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW,TEXT_HW
pages_online,37,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,38,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,39,PHOTO_L,DRAW_L,DRAW_L,DRAW_L,DRAW_L
pages_online,40,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,41,DRAW,LINE_P,DRAW,DRAW_L,DRAW
pages_online,42,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,43,LINE_P,LINE_P,LINE_P,LINE_HW,LINE_P
pages_online,44,DRAW_L,DRAW,DRAW_L,DRAW,DRAW
pages_online,45,DRAW,LINE_P,DRAW,DRAW_L,DRAW
pages_online,46,DRAW,DRAW,DRAW,DRAW,DRAW
pages_online,47,PHOTO,DRAW,PHOTO,PHOTO,DRAW
pages_online,48,DRAW_L,DRAW,DRAW,DRAW,DRAW
pages_online,49,LINE_P,LINE_T,LINE_HW,LINE_HW,LINE_HW
pages_online,50,PHOTO,DRAW,PHOTO,PHOTO,DRAW
pages_online,51,LINE_P,LINE_P,LINE_P,LINE_P,LINE_P
pages_online,52,LINE_P,DRAW_L,LINE_P,LINE_P,DRAW_L
pages_online,54,LINE_T,LINE_HW,LINE_T,LINE_HW,LINE_T
pages_online,55,LINE_T,DRAW_L,LINE_P,LINE_HW,DRAW_L
pages_online,56,LINE_P,PHOTO_L,PHOTO_L,LINE_P,PHOTO_L
pages_online,57,DRAW,DRAW,PHOTO,DRAW,DRAW
pages_online,58,DRAW,LINE_HW,LINE_HW,LINE_HW,LINE_HW
pages_online,59,LINE_P,PHOTO_L,PHOTO_L,LINE_P,PHOTO_L
pages_online,60,LINE_T,PHOTO_L,DRAW,DRAW,DRAW
