FILE,PAGE,DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T
CTX197704822,1,0.592,0.214,0.009,0.001,0.0,0.036,0.025,0.058,0.052,0.007,0.006
CTX194502780,1,0.503,0.488,0.003,0.001,0.0,0.0,0.001,0.001,0.002,0.001,0.001
CTX193200994,24,0.49,0.497,0.002,0.0,0.0,0.002,0.005,0.0,0.002,0.0,0.001
CTX194501159,1,0.488,0.472,0.006,0.011,0.003,0.001,0.001,0.001,0.003,0.006,0.008
CTX194501892,1,0.487,0.423,0.015,0.008,0.006,0.001,0.003,0.003,0.006,0.008,0.04
CTX194603902,7,0.447,0.461,0.034,0.019,0.004,0.002,0.006,0.006,0.004,0.007,0.008
CTX197403592,3,0.433,0.44,0.024,0.022,0.01,0.012,0.036,0.005,0.004,0.005,0.009
CTX194501831,1,0.384,0.448,0.054,0.036,0.01,0.001,0.005,0.005,0.016,0.017,0.024
CTX201001607,180,0.348,0.288,0.004,0.017,0.003,0.098,0.13,0.027,0.007,0.061,0.018
CTX198002297,1,0.323,0.247,0.155,0.022,0.013,0.01,0.01,0.037,0.11,0.009,0.065
CTX194502989,1,0.316,0.563,0.038,0.014,0.005,0.003,0.005,0.018,0.014,0.008,0.016
CTX197305805,15,0.3,0.503,0.074,0.047,0.012,0.002,0.01,0.01,0.016,0.016,0.01
CTX194103122,1,0.287,0.363,0.024,0.061,0.037,0.034,0.107,0.003,0.004,0.018,0.061
CTX195100919,1,0.283,0.679,0.007,0.011,0.003,0.001,0.002,0.002,0.002,0.005,0.005
CTX193200994,33,0.274,0.392,0.002,0.006,0.001,0.074,0.23,0.003,0.003,0.01,0.006
CTX195700902,1,0.234,0.488,0.158,0.074,0.02,0.001,0.012,0.003,0.003,0.002,0.006
CTX198901592,246,0.186,0.797,0.004,0.007,0.001,0.0,0.003,0.0,0.0,0.001,0.001
