FILE,PAGE,LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5,TRUE
CTX193102237,5,LINE_T,LINE_P,DRAW,TEXT_T,PHOTO_L,1,0,0,0,0,LINE_T
CTX193102237,6,LINE_T,DRAW,LINE_P,PHOTO,TEXT_T,1,0,0,0,0,LINE_T
CTX193102237,9,LINE_T,DRAW,PHOTO,PHOTO_L,LINE_HW,1,0,0,0,0,LINE_T
CTX194004617,1,TEXT,PHOTO,PHOTO_L,DRAW,TEXT_P,0.997,0.001,0.001,0,0,TEXT
CTX194300428,1,TEXT,DRAW,TEXT_P,DRAW_L,PHOTO_L,0.998,0,0,0,0,TEXT
CTX194604301,27,DRAW,DRAW_L,LINE_T,TEXT_T,PHOTO_L,0.999,0,0,0,0,DRAW_L
CTX194604301,30,DRAW_L,PHOTO_L,DRAW,TEXT_T,PHOTO,0.998,0.001,0.001,0,0,DRAW_L
CTX194604301,32,DRAW,PHOTO,DRAW_L,PHOTO_L,TEXT_T,0.973,0.024,0.001,0.001,0.001,DRAW
CTX194604301,33,DRAW_L,PHOTO_L,DRAW,TEXT_T,TEXT,0.989,0.009,0.001,0,0,DRAW_L
CTX195600870,10,TEXT_T,TEXT_P,PHOTO_L,DRAW,LINE_T,0.999,0,0,0,0,TEXT_T
CTX195600870,11,TEXT_T,TEXT_P,TEXT_HW,DRAW,PHOTO_L,0.999,0.001,0,0,0,TEXT_T
CTX195600870,12,TEXT_T,TEXT_P,TEXT,DRAW_L,DRAW,0.991,0.008,0,0,0,TEXT_T
CTX195600870,13,TEXT_T,TEXT_P,TEXT,DRAW_L,PHOTO_L,0.998,0.002,0,0,0,TEXT_T
CTX195600870,14,PHOTO,DRAW,PHOTO_L,TEXT,TEXT_P,0.999,0.001,0,0,0,DRAW/TEXT
CTX195600870,15,DRAW,PHOTO,TEXT,DRAW_L,TEXT_P,0.866,0.125,0.006,0.002,0.001,DRAW/TEXT
CTX198702238A,22,DRAW,DRAW_L,PHOTO_L,PHOTO,TEXT_T,1,0,0,0,0,DRAW
CTX198702238A,23,DRAW_L,DRAW,LINE_T,TEXT,LINE_HW,0.928,0.061,0.005,0.004,0.002,DRAW
CTX198702238A,24,DRAW,DRAW_L,TEXT,TEXT_T,PHOTO_L,0.998,0.001,0,0,0,DRAW
CTX199400067A,69,LINE_T,TEXT_T,LINE_P,LINE_HW,DRAW,0.999,0,0,0,0,LINE_T
CTX199400067B,10,LINE_T,LINE_P,DRAW,LINE_HW,PHOTO_L,0.999,0,0,0,0,LINE_T
CTX199400067B,11,LINE_T,LINE_P,DRAW,PHOTO_L,TEXT_T,0.999,0,0,0,0,LINE_T
CTX199400067B,46,DRAW,DRAW_L,TEXT,TEXT_T,PHOTO_L,0.999,0.001,0,0,0,DRAW
CTX199400067B,47,DRAW,LINE_T,TEXT_T,DRAW_L,PHOTO_L,1,0,0,0,0,DRAW
CTX199400067B,48,DRAW,DRAW_L,PHOTO_L,TEXT_T,LINE_HW,0.999,0,0,0,0,DRAW
CTX199400067D,10,DRAW,DRAW_L,TEXT_P,TEXT_T,LINE_T,0.999,0.001,0,0,0,DRAW
CTX199400067D,11,DRAW,DRAW_L,TEXT_P,PHOTO,TEXT_T,0.999,0,0,0,0,DRAW
CTX199400067D,12,DRAW,DRAW_L,TEXT,TEXT_P,PHOTO_L,0.999,0.001,0,0,0,DRAW
CTX199706756,16,LINE_P,LINE_T,TEXT_P,PHOTO_L,PHOTO,0.76,0.198,0.034,0.004,0.003,LINE_T
CTX199706756,17,LINE_P,LINE_T,TEXT_P,LINE_HW,PHOTO_L,0.941,0.052,0.004,0.002,0.001,LINE_T
CTX199706756,18,LINE_P,LINE_T,TEXT_P,PHOTO,LINE_HW,0.968,0.026,0.004,0.001,0.001,LINE_T
CTX199706756,19,LINE_P,LINE_T,TEXT_P,LINE_HW,TEXT_HW,0.99,0.005,0.003,0.001,0.001,LINE_T
CTX199706756,20,LINE_P,LINE_T,TEXT_P,LINE_HW,PHOTO,0.986,0.011,0.002,0.001,0.001,LINE_T
CTX199706756,21,LINE_P,LINE_T,TEXT_P,LINE_HW,TEXT_HW,0.971,0.02,0.007,0.001,0.001,LINE_T
CTX199706756,64,LINE_P,DRAW,LINE_T,LINE_HW,DRAW_L,0.979,0.012,0.005,0.003,0.001,LINE_T
CTX199706756,65,LINE_P,LINE_T,DRAW,LINE_HW,TEXT_HW,0.993,0.004,0.002,0.001,0,LINE_T
CTX199706756,66,LINE_P,LINE_T,DRAW,LINE_HW,TEXT_HW,0.985,0.01,0.003,0.001,0.001,LINE_T
CTX199706756,67,LINE_P,LINE_T,DRAW,LINE_HW,DRAW_L,0.995,0.003,0.001,0.001,0,LINE_T
CTX199706756,68,LINE_P,LINE_T,DRAW,LINE_HW,TEXT_HW,0.995,0.003,0.001,0.001,0.001,LINE_T
CTX199706756,74,DRAW,LINE_P,PHOTO,DRAW_L,PHOTO_L,0.994,0.003,0.001,0.001,0.001,DRAW
CTX199706756,75,DRAW,DRAW_L,LINE_P,PHOTO,PHOTO_L,0.987,0.006,0.004,0.002,0.001,DRAW
CTX199706756,76,DRAW,PHOTO,LINE_P,TEXT_P,PHOTO_L,0.847,0.094,0.043,0.008,0.008,DRAW
CTX199706756,77,DRAW,LINE_P,PHOTO,DRAW_L,PHOTO_L,0.9,0.064,0.018,0.011,0.007,DRAW
CTX199706756,79,DRAW,DRAW_L,LINE_P,PHOTO,TEXT_P,0.996,0.001,0.001,0.001,0.001,DRAW
CTX200502635,12,LINE_T,LINE_P,TEXT_P,LINE_HW,DRAW,0.985,0.013,0.001,0.001,0,LINE_P
CTX200502635,13,LINE_T,LINE_P,LINE_HW,DRAW,TEXT_P,0.966,0.028,0.002,0.002,0.001,LINE_P
CTX200502635,14,LINE_T,LINE_P,LINE_HW,PHOTO_L,DRAW,0.556,0.425,0.014,0.003,0.002,LINE_P
CTX200502635,15,LINE_P,LINE_T,LINE_HW,DRAW,TEXT,0.99,0.007,0.002,0.001,0.001,LINE_P
CTX201603571,117,LINE_P,LINE_T,LINE_HW,DRAW,TEXT_P,0.945,0.049,0.004,0.001,0.001,LINE_P
CTX201603571,120,LINE_P,LINE_T,LINE_HW,DRAW,PHOTO_L,0.741,0.247,0.008,0.002,0.002,LINE_P
CTX201603571,123,LINE_P,LINE_T,TEXT_P,PHOTO_L,LINE_HW,0.86,0.134,0.004,0.001,0.001,LINE_P
CTX201603571,127,LINE_P,LINE_T,TEXT_P,LINE_HW,PHOTO_L,0.743,0.247,0.007,0.002,0.002,LINE_P
CTX201603571,141,LINE_T,LINE_P,TEXT_P,DRAW,LINE_HW,0.725,0.271,0.002,0.001,0.001,LINE_P
CTX201603571,142,LINE_T,LINE_P,DRAW,LINE_HW,TEXT,0.977,0.018,0.002,0.002,0.001,LINE_P
MTX197001050,7,PHOTO,PHOTO_L,TEXT_T,DRAW,TEXT_P,0.998,0.001,0.001,0.001,0,PHOTO
MTX197001050,8,PHOTO,DRAW,PHOTO_L,TEXT_T,TEXT_HW,0.999,0,0,0,0,PHOTO
MTX197001050,9,PHOTO,DRAW,PHOTO_L,TEXT_T,TEXT,0.999,0,0,0,0,PHOTO
MTX201891306,1,TEXT,TEXT_HW,PHOTO_L,DRAW,TEXT_T,0.978,0.015,0.003,0.002,0.001,TEXT
MTX201891306,2,TEXT_HW,DRAW,TEXT,LINE_HW,TEXT_T,0.995,0.003,0.001,0.001,0,TEXT
MTX202210018,23,DRAW,PHOTO,TEXT_T,TEXT_HW,TEXT_P,0.995,0.003,0.001,0.001,0,DRAW
MTX202210018,24,DRAW,PHOTO,TEXT_T,TEXT_HW,PHOTO_L,0.998,0.001,0,0,0,DRAW
MTX202210018,25,DRAW,PHOTO,TEXT_T,TEXT_HW,PHOTO_L,0.991,0.006,0.001,0.001,0.001,DRAW
