categ,fold1,fold2,fold3,fold4,fold5,PNG,BYTES
DRAW,test,test,test,dev,train,CTX192100263-1.png,3457814
DRAW,train,dev,train,train,test,CTX192500554-1.png,2539214
DRAW,dev,train,dev,test,dev,CTX192500814-2.png,1807301
DRAW,train,train,train,train,train,CTX192600727-4.png,2722020
DRAW,train,train,train,train,train,CTX192700172-4.png,11034341
DRAW,train,train,train,train,train,CTX192700172-5.png,3978025
DRAW,train,train,train,train,train,CTX192700593-08.png,5209786
DRAW,train,train,train,train,train,CTX192700593-12.png,4082657
DRAW,train,test,test,test,train,CTX192700593-17.png,3503670
DRAW,train,train,train,train,train,CTX192700593-21.png,6182012
DRAW,test,train,dev,dev,test,CTX192700593-23.png,6046314
DRAW,train,train,train,train,train,CTX192700593-24.png,5231568
DRAW,dev,train,train,train,dev,CTX192700593-26.png,3949211
DRAW,train,dev,train,train,train,CTX192700593-32.png,10247730
DRAW,train,train,train,train,train,CTX192700593-35.png,1065515
DRAW,train,train,train,train,train,CTX192700820-1.png,3489418
DRAW,train,train,train,train,train,CTX192700883-4.png,2018965
DRAW,train,train,train,train,train,CTX192800606-1.png,1861571
DRAW,train,train,dev,train,dev,CTX192801054-1.png,3240157
DRAW,dev,test,train,dev,test,CTX192801131-1.png,1270748
DRAW,train,train,train,test,train,CTX192801264-1.png,3867824
DRAW,train,train,test,train,train,CTX192801375-1.png,9963957
DRAW,test,dev,train,train,train,CTX192900474-1.png,644491
DRAW,train,train,train,train,train,CTX192900547-1.png,3797418
DRAW,train,train,train,train,train,CTX192901127-1.png,2036551
DRAW,train,train,train,train,train,CTX192901789-1.png,2297488
DRAW,train,train,train,train,train,CTX192901866-1.png,1378221
DRAW,train,train,train,test,train,CTX193001502-1.png,2106543
DRAW,train,train,dev,train,test,CTX193001890-05.png,3783479
DRAW,train,train,train,train,dev,CTX193001890-06.png,4993662
DRAW,test,dev,test,train,train,CTX193001890-07.png,3444574
DRAW,dev,train,train,dev,train,CTX193001890-08.png,4200445
DRAW,train,test,train,train,train,CTX193001890-09.png,3559322
DRAW,train,train,train,train,train,CTX193001890-10.png,3249345
DRAW,train,train,train,train,train,CTX193001890-11.png,4604458
DRAW,train,train,train,train,train,CTX193001890-12.png,4826245
DRAW,train,train,train,train,train,CTX193001890-13.png,2806890
DRAW,train,train,train,dev,train,CTX193001890-14.png,4194282
DRAW,train,train,train,train,train,CTX193001890-15.png,5754052
DRAW,test,dev,train,test,train,CTX193001890-16.png,5351422
DRAW,train,train,test,train,test,CTX193001890-17.png,4636368
DRAW,train,test,dev,train,train,CTX193001890-18.png,4830856
DRAW,train,train,train,train,dev,CTX193001890-19.png,3564640
DRAW,dev,train,train,train,train,CTX193001890-20.png,3066543
DRAW,train,train,train,train,train,CTX193001890-21.png,3659611
DRAW,train,train,train,train,train,CTX193001890-22.png,2909302
DRAW,train,train,train,train,train,CTX193001890-23.png,4300637
DRAW,train,train,test,test,train,CTX193001890-24.png,4427928
DRAW,train,train,train,train,dev,CTX193001890-25.png,5041593
DRAW,test,train,train,train,test,CTX193001890-26.png,2714234
DRAW,train,train,dev,train,train,CTX193001890-27.png,3294365
DRAW,train,train,train,dev,train,CTX193100130-3.png,418950
DRAW,train,test,train,train,train,CTX193100241-2.png,4794385
DRAW,dev,dev,train,train,train,CTX193100380-1.png,1385554
DRAW,train,train,train,train,train,CTX193100381-1.png,2741410
DRAW,train,train,train,train,train,CTX193100383-1.png,1748698
DRAW,train,train,train,train,train,CTX193100383-2.png,1533333
DRAW,test,train,train,train,train,CTX193100384-1.png,1725021
DRAW,train,train,train,train,train,CTX193100853-3.png,2934230
DRAW,dev,test,test,train,train,CTX193100972-2.png,1445755
DRAW,train,train,train,train,train,CTX193100973-3.png,3409745
DRAW,train,train,dev,test,test,CTX193101068-19.png,2935437
DRAW,train,train,train,train,dev,CTX193101068-24.png,1765120
DRAW,train,dev,train,dev,train,CTX193101068-25.png,1627128
DRAW,train,train,train,train,train,CTX193101068-29.png,1340587
DRAW,train,train,train,train,train,CTX193101068-32.png,1218647
DRAW,train,train,train,train,train,CTX193101068-38.png,972018
DRAW,train,train,train,train,test,CTX193101068-41.png,1200942
DRAW,train,dev,train,train,train,CTX193101068-46.png,1357982
DRAW,train,train,dev,train,dev,CTX193101791-3.png,1636365
DRAW,train,train,test,dev,train,CTX193101791-6.png,2066003
DRAW,dev,train,train,test,train,CTX193102430-1.png,238708
DRAW,test,test,train,train,train,CTX193102905-2.png,2695580
DRAW,train,train,train,train,train,CTX193102905-3.png,16703598
DRAW,train,train,train,train,train,CTX193102927-3.png,3937724
DRAW,train,train,train,train,train,CTX193200054-1.png,1552658
DRAW,train,train,train,train,train,CTX193200168-1.png,585572
DRAW,train,train,train,train,train,CTX193200169-1.png,728883
DRAW,train,dev,train,train,test,CTX193200248-1.png,2402013
DRAW,train,train,train,test,train,CTX193200259-1.png,912136
DRAW,dev,train,dev,train,train,CTX193200261-1.png,1606574
DRAW,test,train,test,dev,dev,CTX193200262-1.png,864879
DRAW,train,test,train,train,train,CTX193200263-1.png,1172412
DRAW,train,train,train,train,train,CTX193200264-1.png,808238
DRAW,train,train,train,train,train,CTX193200266-1.png,1268440
DRAW,train,train,train,train,train,CTX193200347-1.png,1897461
DRAW,train,train,train,train,train,CTX193200578-02.png,2260032
DRAW,train,train,train,train,train,CTX193200578-07.png,2493156
DRAW,train,train,dev,dev,test,CTX193200578-11.png,2522871
DRAW,test,train,train,train,train,CTX193200578-12.png,2229127
DRAW,train,train,test,test,train,CTX193200578-13.png,1735519
DRAW,train,train,train,train,train,CTX193200579-1.png,3031729
DRAW,dev,test,train,train,train,CTX193200787-1.png,5061477
DRAW,train,dev,train,train,dev,CTX193200788-1.png,5926629
DRAW,train,train,train,train,train,CTX193200790-1.png,2399911
DRAW,train,train,train,train,train,CTX193200796-1.png,3214638
DRAW,train,train,train,train,train,CTX193200812-1.png,3259549
DRAW,train,train,train,train,train,CTX193200813-1.png,167630
DRAW,train,test,test,train,train,CTX193200994-09.png,6257774
DRAW,train,train,train,train,train,CTX193200994-10.png,6077173
DRAW,train,train,train,train,train,CTX193200994-11.png,6018887
DRAW,train,train,dev,dev,test,CTX193200994-12.png,6200885
DRAW,test,train,train,test,train,CTX193200994-13.png,6153328
DRAW,dev,dev,train,train,dev,CTX193200994-14.png,6214080
DRAW,train,train,train,train,train,CTX193200994-15.png,5955900
DRAW,train,train,train,train,train,CTX193200994-16.png,5860008
DRAW,train,train,train,train,train,CTX193200994-17.png,5898444
DRAW,test,train,train,train,train,CTX193200994-18.png,5682730
DRAW,train,dev,test,train,test,CTX193200994-19.png,5797455
DRAW,train,train,train,test,train,CTX193200994-20.png,5595841
DRAW,train,train,train,dev,train,CTX193200994-21.png,5572839
DRAW,train,test,train,train,train,CTX193200994-22.png,5776703
DRAW,train,train,train,train,dev,CTX193200994-23.png,5680263
DRAW,dev,train,dev,train,train,CTX193200994-24.png,5866921
DRAW,train,train,train,train,train,CTX193200994-25.png,5808554
DRAW,train,train,train,train,train,CTX193200994-26.png,5944990
DRAW,train,train,train,train,train,CTX193200994-28.png,2828160
DRAW,train,train,train,train,train,CTX193200994-29.png,1289320
DRAW,dev,train,test,train,train,CTX193200994-31.png,1581871
DRAW,test,test,train,train,dev,CTX193200994-34.png,1206426
DRAW,train,train,train,dev,train,CTX193200994-38.png,1789001
DRAW,train,train,train,test,test,CTX193200994-41.png,2758656
DRAW,train,dev,dev,train,train,CTX193201159-1.png,2025827
DRAW,train,train,train,train,train,CTX193201494-1.png,4364138
DRAW,train,train,train,train,train,CTX193201711-1.png,5041372
DRAW,train,train,train,train,train,CTX193201712-1.png,6659583
DRAW,train,train,train,train,train,CTX193201713-1.png,5094165
DRAW,train,train,train,train,train,CTX193201714-1.png,5728386
DRAW,test,train,train,train,train,CTX193201715-1.png,5168064
DRAW,train,train,test,test,train,CTX193201716-1.png,3606884
DRAW,train,test,dev,train,dev,CTX193201717-1.png,3168319
DRAW,dev,train,train,train,test,CTX193201718-1.png,4095736
DRAW,train,dev,train,dev,train,CTX193201720-1.png,3362223
DRAW,train,train,train,train,train,CTX193201722-1.png,4055277
DRAW,train,train,train,train,train,CTX193201724-1.png,1470436
DRAW,train,train,train,train,train,CTX193201728-1.png,5295040
DRAW,train,train,train,train,train,CTX193201730-1.png,5873658
DRAW,train,train,train,train,train,CTX193201731-1.png,4284139
DRAW,train,test,dev,test,dev,CTX193201732-1.png,4869765
DRAW,train,train,train,train,test,CTX193201733-1.png,5486668
DRAW,train,dev,train,train,train,CTX193201736-1.png,5157563
DRAW,test,train,test,train,train,CTX193201737-1.png,6682409
DRAW,dev,train,train,dev,train,CTX193201738-1.png,4315862
DRAW,train,train,train,train,train,CTX193201822-1.png,3255918
DRAW,train,train,train,train,train,CTX193201827-1.png,1298931
DRAW,train,train,train,train,train,CTX193201844-1.png,2641511
DRAW,train,train,train,train,train,CTX193201845-1.png,667403
DRAW,train,train,train,train,train,CTX193201852-1.png,830154
DRAW,train,train,test,train,test,CTX193201858-1.png,1116042
DRAW,train,train,dev,train,train,CTX193300258-1.png,1414720
DRAW,dev,test,train,test,dev,CTX193300816-1.png,3553109
DRAW,train,dev,train,dev,train,CTX193301601-6.png,2821172
DRAW,test,train,train,train,train,CTX193301739-1.png,4379096
DRAW,train,train,train,train,train,CTX193301834-08.png,5894902
DRAW,train,train,train,train,train,CTX193301835-1.png,5281353
DRAW,train,train,train,train,train,CTX193301879-4.png,1658209
DRAW,train,train,train,train,train,CTX193302398-11.png,10766592
DRAW,train,train,train,train,train,CTX193302663-5.png,1373828
DRAW,train,train,train,train,train,CTX193302663-6.png,1505545
DRAW,train,train,dev,train,test,CTX193302715-1.png,3815655
DRAW,test,test,train,train,dev,CTX193400513-12.png,2524410
DRAW,train,train,train,test,train,CTX193400516-3.png,1962858
DRAW,train,train,test,dev,train,CTX193400519-5.png,2646882
DRAW,dev,dev,train,train,train,CTX193401235-3.png,1626455
DRAW,train,train,train,train,train,CTX193401413-1.png,3882486
DRAW,train,train,train,train,train,CTX193401761A-11.png,4787795
DRAW,train,train,train,train,train,CTX193401761A-14.png,4850682
DRAW,train,train,train,train,train,CTX193401762-33.png,4032010
DRAW,test,train,test,train,dev,CTX193401762-37.png,1549326
DRAW,train,train,train,train,train,CTX193401762A-03.png,1772673
DRAW,train,test,train,test,train,CTX193401762A-08.png,2388728
DRAW,train,train,train,train,train,CTX193401762A-10.png,1710799
DRAW,dev,train,dev,train,test,CTX193401762A-24.png,18089973
DRAW,train,dev,train,dev,train,CTX193401763-32.png,3633170
DRAW,train,train,train,train,train,CTX193401763-33.png,2946956
DRAW,train,train,train,train,train,CTX193401763-34.png,1884122
DRAW,train,train,train,train,train,CTX193401763-37.png,2482022
DRAW,train,train,train,train,train,CTX193401763A-01.png,4638969
DRAW,train,train,test,train,train,CTX193401763A-02.png,1051214
DRAW,train,train,train,train,train,CTX193401763A-08.png,2592398
DRAW,train,train,train,dev,dev,CTX193401763A-11.png,6421872
DRAW,train,test,train,test,train,CTX193401763A-14.png,8317191
DRAW,test,train,train,train,test,CTX193402353-1.png,2184544
DRAW,dev,dev,dev,train,train,CTX193402371-1.png,5987818
DRAW,train,train,train,train,train,CTX193500069-1.png,3978060
DRAW,train,train,train,train,train,CTX193500420-1.png,2096127
DRAW,train,train,train,train,train,CTX193500728-1.png,4509650
DRAW,train,train,train,train,train,CTX193500857-1.png,3483832
DRAW,train,train,test,test,train,CTX193501178-1.png,1999998
DRAW,dev,train,train,train,test,CTX193501326-4.png,3101208
DRAW,train,train,dev,train,train,CTX193501326-7.png,1916101
DRAW,test,test,train,train,dev,CTX193600125-1.png,3229203
DRAW,train,train,train,dev,train,CTX193600163-1.png,5520348
DRAW,train,dev,train,train,train,CTX193600267-1.png,2573038
DRAW,train,train,train,train,train,CTX193600268-1.png,1627104
DRAW,train,train,train,train,train,CTX193600269-1.png,2061982
DRAW,train,train,train,train,train,CTX193600270-1.png,3955282
DRAW,train,train,train,train,train,CTX193600272-1.png,1276867
DRAW,train,test,train,train,train,CTX193600274-1.png,3133853
