IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"1. GEOMORFOLOGICKÝ POPIS
2. PODLOŽÍ A PŮDNÍ POKRYV
Obsah
3. HISTORIE NALEZIŠTĚ
4. OKOLNOSTI A CÍL VÝZKUMU
5. METODA VÝZKUMU
6. ZAMĚŘENÍ
7. POPIS TERÉNNÍ SITUACE .....
2d
Sezóna 1974: sondy 2a
Ornice (drn)
nka 1
Kůlová jamka 2
Kůlová jamka 3
Objekt VIII
Kůlová jamka 4
Objekt VIIIa
....
I
...
GUP
Destrukce vnitřní hradební zdi (DVHZ)
DVHZ/ vrstva 2 / vrstva 3.....
DVHZ/ vrstva 3..
Vrstva 3 (z 10. století)
Objekt III
Objekt IV...
Objekt V
Objekt VI
Objekt VII
Ornice (drn) + vrstva 2 (přemyslovská)
Vrstva 2 (přemyslovská)
Vrstva 2 (přemyslovská) / vrstva 3 (10.století).. 13
Objekt I
Objekt II
... 14
Kůlová
... 16
67/94
Pravděpodobný kněžský dům
Vnitřní příkop opevnění
Kůlová jamka 5
... 2
.... 4
6
8
8
57
8- 11
11
11
...
1
2
ܐܐ ...
..
...
... 37
8
52
- 13
14
3
17
19
20
21
... 23
24
... 25
27
28
28
34
34 - 37
38
40
41
3
Om
6
-
-
●
ON
4
5
8
38
.. 40
41
42
... 43 48
.....48
52
53
O
O
15
17
18
20
21
23
24
-
27
PI provedena (124)"	cs	(192, 35)	(1078, 35)	(1078, 1668)	(192, 1668)
image	1.		(195, 270)	(222, 270)	(222, 291)	(195, 291)
image	GEOMORFOLOGICKÝ		(242, 269)	(460, 270)	(460, 292)	(242, 291)
image	POPIS		(476, 271)	(548, 271)	(548, 293)	(476, 293)
image	2.		(194, 314)	(224, 314)	(224, 339)	(194, 339)
image	PODLOŽÍ		(241, 314)	(343, 315)	(343, 340)	(241, 339)
image	A		(356, 315)	(372, 315)	(372, 340)	(356, 340)
image	PŮDNÍ		(387, 315)	(459, 316)	(459, 342)	(387, 341)
image	POKRYV		(475, 316)	(563, 317)	(563, 343)	(475, 342)
image	Obsah		(492, 178)	(625, 179)	(625, 198)	(492, 197)
image	3.		(196, 367)	(221, 367)	(221, 392)	(196, 392)
image	HISTORIE		(238, 367)	(355, 366)	(355, 391)	(238, 392)
image	NALEZIŠTĚ		(369, 365)	(503, 363)	(503, 388)	(369, 390)
image	4.		(192, 412)	(222, 412)	(222, 439)	(192, 439)
image	OKOLNOSTI		(239, 412)	(368, 411)	(368, 438)	(239, 439)
image	A		(384, 411)	(398, 411)	(398, 437)	(384, 437)
image	CÍL		(415, 411)	(458, 411)	(458, 437)	(415, 437)
image	VÝZKUMU		(472, 410)	(577, 409)	(577, 436)	(472, 437)
image	5.		(192, 464)	(220, 463)	(220, 487)	(192, 488)
image	METODA		(237, 463)	(325, 461)	(325, 485)	(237, 487)
image	VÝZKUMU		(339, 461)	(443, 459)	(443, 483)	(339, 485)
image	6.		(193, 509)	(220, 509)	(220, 532)	(193, 532)
image	ZAMĚŘENÍ		(237, 509)	(353, 507)	(353, 529)	(237, 531)
image	7.		(194, 552)	(222, 553)	(221, 581)	(193, 580)
image	POPIS		(238, 552)	(310, 553)	(309, 582)	(237, 581)
image	TERÉNNÍ		(325, 554)	(426, 556)	(425, 584)	(324, 582)
image	SITUACE		(444, 556)	(547, 558)	(546, 587)	(443, 585)
image	.....		(564, 558)	(635, 559)	(634, 588)	(563, 587)
image	2d		(589, 612)	(619, 612)	(619, 629)	(589, 629)
image	Sezóna		(236, 603)	(327, 605)	(326, 629)	(235, 627)
image	1974		(340, 606)	(398, 608)	(397, 632)	(339, 630)
image	:		(403, 608)	(411, 608)	(410, 631)	(402, 631)
image	sondy		(429, 608)	(501, 610)	(500, 634)	(428, 632)
image	2a		(516, 611)	(547, 612)	(546, 635)	(515, 634)
image	Ornice		(237, 640)	(323, 641)	(323, 664)	(237, 663)
image	(		(343, 642)	(351, 642)	(351, 664)	(343, 664)
image	drn		(354, 642)	(398, 643)	(398, 666)	(354, 665)
image	)		(401, 643)	(412, 643)	(412, 665)	(401, 665)
image	nka		(374, 865)	(411, 865)	(411, 882)	(374, 882)
image	1		(424, 865)	(439, 865)	(439, 882)	(424, 882)
image	Kůlová		(233, 896)	(322, 898)	(322, 921)	(233, 919)
image	jamka		(340, 898)	(410, 899)	(410, 922)	(340, 921)
image	2		(425, 900)	(440, 900)	(440, 922)	(425, 922)
image	Kůlová		(234, 930)	(323, 933)	(322, 957)	(233, 954)
image	jamka		(340, 934)	(410, 936)	(409, 959)	(339, 957)
image	3		(425, 936)	(440, 936)	(439, 959)	(424, 959)
image	Objekt		(234, 972)	(319, 972)	(319, 993)	(234, 993)
image	VIII		(334, 972)	(393, 972)	(393, 992)	(334, 992)
image	Kůlová		(232, 1005)	(323, 1007)	(323, 1028)	(232, 1026)
image	jamka		(338, 1007)	(410, 1008)	(410, 1029)	(338, 1028)
image	4		(422, 1009)	(438, 1009)	(438, 1029)	(422, 1029)
image	Objekt		(233, 1045)	(320, 1045)	(320, 1064)	(233, 1064)
image	VIIIa		(335, 1045)	(410, 1045)	(410, 1064)	(335, 1064)
image	....		(522, 382)	(574, 384)	(574, 392)	(522, 390)
image	I		(596, 35)	(611, 35)	(611, 51)	(596, 51)
image	...		(393, 1381)	(429, 1381)	(429, 1387)	(393, 1387)
image	GUP		(561, 620)	(575, 620)	(575, 625)	(561, 625)
image	Destrukce		(232, 1076)	(362, 1077)	(362, 1101)	(232, 1100)
image	vnitřní		(379, 1077)	(481, 1078)	(481, 1102)	(379, 1101)
image	hradební		(498, 1078)	(613, 1079)	(613, 1103)	(498, 1102)
image	zdi		(631, 1080)	(671, 1080)	(671, 1103)	(631, 1103)
image	(		(691, 1081)	(699, 1081)	(699, 1104)	(691, 1104)
image	DVHZ		(704, 1081)	(762, 1082)	(762, 1105)	(704, 1104)
image	)		(765, 1081)	(775, 1081)	(775, 1104)	(765, 1104)
image	DVHZ		(231, 1112)	(291, 1113)	(291, 1134)	(231, 1133)
image	/		(305, 1114)	(321, 1114)	(321, 1134)	(305, 1134)
image	vrstva		(334, 1114)	(423, 1116)	(423, 1137)	(334, 1135)
image	2		(437, 1116)	(449, 1116)	(449, 1136)	(437, 1136)
image	/		(467, 1117)	(483, 1117)	(483, 1137)	(467, 1137)
image	vrstva		(496, 1117)	(586, 1119)	(586, 1140)	(496, 1138)
image	3		(601, 1119)	(616, 1119)	(616, 1139)	(601, 1139)
image	.....		(631, 1119)	(700, 1120)	(700, 1141)	(631, 1140)
image	DVHZ		(232, 1149)	(291, 1150)	(291, 1170)	(232, 1169)
image	/		(305, 1151)	(321, 1151)	(321, 1170)	(305, 1170)
image	vrstva		(334, 1151)	(423, 1153)	(423, 1173)	(334, 1171)
image	3		(439, 1154)	(453, 1154)	(453, 1173)	(439, 1173)
image	..		(470, 1155)	(493, 1156)	(493, 1175)	(470, 1174)
image	Vrstva		(231, 1186)	(320, 1187)	(320, 1208)	(231, 1207)
image	3		(335, 1186)	(349, 1186)	(349, 1207)	(335, 1207)
image	(		(366, 1186)	(377, 1186)	(377, 1207)	(366, 1207)
image	z		(380, 1186)	(392, 1186)	(392, 1207)	(380, 1207)
image	10.		(408, 1187)	(447, 1187)	(447, 1208)	(408, 1208)
image	století		(453, 1186)	(554, 1187)	(554, 1209)	(453, 1208)
image	)		(557, 1188)	(567, 1188)	(567, 1209)	(557, 1209)
image	Objekt		(232, 1224)	(317, 1223)	(317, 1244)	(232, 1245)
image	III		(332, 1223)	(375, 1223)	(375, 1243)	(332, 1243)
image	Objekt		(232, 1258)	(319, 1261)	(318, 1283)	(231, 1280)
image	IV		(334, 1262)	(361, 1263)	(360, 1284)	(333, 1283)
image	...		(379, 1263)	(422, 1264)	(421, 1286)	(378, 1285)
image	Objekt		(231, 1295)	(318, 1295)	(318, 1317)	(231, 1317)
image	V		(330, 1295)	(346, 1295)	(346, 1316)	(330, 1316)
image	Objekt		(230, 1332)	(316, 1331)	(316, 1353)	(230, 1354)
image	VI		(330, 1331)	(358, 1331)	(358, 1352)	(330, 1352)
image	Objekt		(230, 1367)	(315, 1367)	(315, 1388)	(230, 1388)
